ID,brand,c__productCategory,manufacturerSKU,name__default,mainImageName(.png),imageSize(pixels),duplicatedManufacturerSku,matched_image
superior-36-inch-vent-free-gas-firebox-vrt3236,Superior,Fireboxes,VRT3236WS,Superior 36 Inch Vent Free Gas Firebox | VRT3236 |,vrt3236ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3200-32-hires-1.tif
superior-36-inch-vent-free-gas-firebox-vrt4536,Superior,Fireboxes,VRT4536WS,Superior 36 Inch Vent Free Gas Firebox | VRT4536 |,vrt4536ws,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt4500-42-hires-1.tif
superior-36-inch-vent-free-gas-firebox-vrt6036,Superior,Fireboxes,VRT6036,Superior 36 Inch Vent Free Gas Firebox | VRT6036 |,vrt6036,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffb-vrt6000-42-hires-1.tif
superior-36-inch-vent-free-in-outdoor-gas-firebox-vre4236,Superior,Fireboxes,VRE4236WS,Superior 36 Inch Vent Free In/Outdoor Gas Firebox | VRE4236 |,vre4236ws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffb-vre4200-36-hires-1.tif
superior-36-inch-vent-free-outdoor-gas-firebox-vre4536,Superior,Outdoor Gas Fireplaces,VRE4536WS,Superior 36 Inch Vent Free Outdoor Gas Firebox | VRE4536 |,vre4536ws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffp-vre4500-42-hires-1.tif
superior-36-inch-vent-free-outdoor-gas-firebox-vre6036,Superior,Outdoor Gas Fireplaces,VRE6036,Superior 36 Inch Vent Free Outdoor Gas Firebox | VRE6036 |,vre6036,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffb-vre6000-42-hires-1.tif
superior-36-inch-vent-free-outdoor-gas-fireplace-vre3236,Superior,Outdoor Gas Fireplaces,VRE3236ZENWS,Superior 36 Vent Free Outdoor Gas Fireplace | VRE3236,vre3236zenws,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffp-vre3200-36-hires-1.tif
superior-36-inch-vent-free-outdoor-gas-fireplace-vre4336,Superior,Outdoor Gas Fireplaces,VRE4336ZEN,Superior 36 Vent Free Outdoor Gas Fireplace | VRE4336,vre4336zen,1000x1000,FALSE,Hi-Res Images/Outdoor Products/superior-ovffp-vre4300-42-hires-1.tif
superior-36-inch-vent-free-radiant-gas-fireplace-vrt4036,Superior,Gas Fireplaces,VRT4036ZEN,Superior 36 Vent Free Radiant Gas Fireplace | VRT4036,vrt4036zen,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-vffp-vrt4000z-32-hires-1.tif
superior-36-inch-wood-fireplace-wrt-wct-2036,Superior,Wood Fireplaces,WRT2036WSI,Superior 36 Wood Fireplace | WRT/WCT 2036,wrt2036wsi,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wct2000-36-hires-1.tif
superior-36-inch-wood-fireplace-wrt-wct-3036,Superior,Wood Fireplaces,WRT3036WSI,Superior 36 Wood Fireplace | WRT/WCT 3036,wrt3036wsi,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt3000-42-hires-1.tif
superior-36-inch-wood-fireplace-wrt4536,Superior,Wood Fireplaces,WRT4536WS,Superior 36 Wood Fireplace | WRT4536,wrt4536ws,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt4500-42-hires-1.tif
superior-38-inch-wood-fireplace-wrt3538,Superior,Wood Fireplaces,WRT3538WS,Superior 38 Wood Fireplace | WRT3538,wrt3538ws,1000x1000,FALSE,Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt3500-38-hires-1.tif
superior-38-inch-wood-fireplace-wrt4038,Superior,Wood Fireplaces,WRT4038IS,Superior 38 Inch Wood Fireplace | WRT4038 |,wrt4038is,1000x1000,FALSE,Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT40PN.jpg
superior-40-inch-b-vent-see-thru-radiant-gas-fireplace-brt40st,Superior,Gas Fireplaces,BRT40STTMN,Superior 40 B-Vent See-Thru Radiant Gas Fireplace | BRT40ST,brt40sttmn,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-bvfp-brt40ST-hires-1.tif
superior-40-inch-direct-vent-contemporary-gas-fireplace-drc2040,Superior,Gas Fireplaces,DRC2040TEN,Superior 40 Direct-Vent Contemporary Gas Fireplace | DRC2040,drc2040ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drc2000-35-hires-1.tif
superior-40-inch-direct-vent-contemporary-gas-fireplace-drc3540,Superior,Gas Fireplaces,DRC3540DEN-B,Superior 40 Direct-Vent Contemporary Gas Fireplace | DRC3540,drc3540den-b,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drc3500-40-hires-1.tif
superior-40-inch-direct-vent-contemporary-gas-fireplace-drc6340,Superior,Gas Fireplaces,DRC6340TEN,Superior 40 Direct-Vent Contemporary Gas Fireplace | DRC6340,drc6340ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drc6300-40-hires-1.tif
superior-40-inch-direct-vent-traditional-corner-gas-fireplace-drt40c,Superior,Gas Fireplaces,DRT40CLDEN,Superior 40 Direct-Vent Traditional Corner Gas Fireplace | DRT40C,drt40clden,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt4000CL-40-hires-1.tif
superior-40-inch-direct-vent-traditional-gas-fireplace-drt2040,Superior,Gas Fireplaces,DRT2040TEN-C,Superior 40 Direct-Vent Traditional Gas Fireplace | DRT2040,drt2040ten-c,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt2000-35-hires-1.tif
superior-40-inch-direct-vent-traditional-gas-fireplace-drt3040,Superior,Gas Fireplaces,DRT3040DEN-C,Superior 40 Direct-Vent Traditional Gas Fireplace | DRT3040,drt3040den-c,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3000-40-hires-1.tif
superior-40-inch-direct-vent-traditional-gas-fireplace-drt3540,Superior,Gas Fireplaces,DRT3540DEN-C,Superior 40 Direct-Vent Traditional Gas Fireplace | DRT3540,drt3540den-c,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3500-40-hires-1.tif
superior-40-inch-direct-vent-traditional-gas-fireplace-drt4040,Superior,Gas Fireplaces,DRT4040DEN-C,Superior 40 Direct-Vent Traditional Gas Fireplace | DRT4040,drt4040den-c,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt4000-40-hires-1.tif
superior-40-inch-direct-vent-traditional-gas-fireplace-drt4240,Superior,Gas Fireplaces,DRT4240DEN-C,Superior 40 Direct-Vent Traditional Gas Fireplace | DRT4240,drt4240den-c,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt4200-45-hires-1.tif
superior-40-inch-direct-vent-traditional-gas-fireplace-drt6340,Superior,Gas Fireplaces,DRT6340TEN,Superior 40 Direct-Vent Traditional Gas Fireplace | DRT6340,drt6340ten,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt6300-40-hires-1.tif
superior-40-inch-direct-vent-traditional-peninsula-gas-fireplace-drt40pf,Superior,Gas Fireplaces,DRT40PFDEN,Superior 40 Direct-Vent Traditional Peninsula Gas Fireplace | DRT40PF,drt40pfden,1000x1000,FALSE,Hi-Res Images/Gas Fireplaces/superior-dvfp-drt4000PF-40-hires-1.tif
